agent,num_seeds,seeds,mean_cumulative_reward,std_cumulative_reward,mean_average_reward,std_average_reward,mean_average_throughput,std_average_throughput,mean_average_current_queue,std_average_current_queue,mean_average_reward_queue,std_average_reward_queue,mean_average_total_delay,std_average_total_delay,mean_average_deadline_misses,std_average_deadline_misses,mean_final_current_queue,std_final_current_queue,mean_final_reward_queue,std_final_reward_queue,mean_final_total_delay,std_final_total_delay,mean_final_deadline_misses,std_final_deadline_misses,mean_service_amount_fairness,std_service_amount_fairness
random,10,1 2 3 4 5 6 7 8 9 10,-486.86800028942525,184.17806173640489,-12.171700007235632,4.604451543410122,7.784999999999999,1.184400926863685,115.93500000000002,20.640757280466026,103.69500000000001,20.58417609610731,52.697500000000005,10.054334678800647,2.7299999999999995,0.5574993771795226,191.5,38.84227364897969,191.5,38.84227364897969,82.8,8.651268372004445,4.4,0.5163977794943222,0.8887501515317023,0.06674868493194247
round_robin,10,1 2 3 4 5 6 7 8 9 10,-408.08000104501843,172.23254881075962,-10.20200002612546,4.30581372026899,8.655,1.166714284742508,98.66499999999999,20.782067590433186,86.425,20.781749471858983,50.927499999999995,8.154220532951019,2.58,0.4669344469813485,156.7,39.48572175131439,156.7,39.48572175131439,81.3,9.28619046398109,4.1,0.5676462121975466,0.9437700944293784,0.045174973260293676
max_cqi,10,1 2 3 4 5 6 7 8 9 10,-529.1819994457067,145.0834094243269,-13.229549986142667,3.627085235608172,6.345,1.8089207955143984,155.495,28.513285889602802,143.42999999999998,28.3834747500881,50.5275,4.835106714897246,2.6174999999999997,0.278650019438961,242.1,73.53525231705765,242.1,73.53525231705765,72.3,8.56413711032492,3.6,0.5163977794943223,0.6842921363929709,0.21349687852126673
max_queue,10,1 2 3 4 5 6 7 8 9 10,-641.6419997800142,310.6014438103305,-16.041049994500355,7.765036095258264,7.725000000000001,1.8471825392562948,112.495,35.23683126754984,100.25500000000001,35.207162307942085,63.510000000000005,14.766564145618528,3.2825,0.8701891556820658,193.9,70.3032321052485,193.9,70.3032321052485,96.5,11.067971810589327,4.9,0.31622776601683794,0.9771209279390559,0.017210751081418025
max_delay,10,1 2 3 4 5 6 7 8 9 10,-550.3750004157424,280.151644606806,-13.759375010393558,7.0037911151701495,6.792500000000001,2.026698533192454,139.855,36.500380135006814,127.63750000000002,36.549278473650396,53.504999999999995,11.803246963818424,2.785,0.7317406948123388,230.3,76.26131974263814,230.3,76.26131974263814,79.8,17.364075302506354,4.1,0.7378647873726218,0.7977692241925247,0.12962818956788708
greedy,10,1 2 3 4 5 6 7 8 9 10,-278.11100024878976,211.5404830903922,-6.952775006219744,5.2885120772598055,9.6525,1.0952834488539183,82.7175,20.14123068759978,70.4775,20.045138126238992,45.505,10.672484090719774,2.27,0.63779132776934,116.8,38.08995201420506,116.8,38.08995201420506,78.1,18.033610595527204,4.1,1.1972189997378646,0.9530968533740038,0.03574935617468167
delay_aware,10,1 2 3 4 5 6 7 8 9 10,-361.3190001495183,242.76145397020875,-9.032975003737956,6.069036349255219,9.235,1.2688139693780522,92.9625,22.794694344907935,80.72250000000001,22.72458424628857,48.7325,11.997870470768275,2.5174999999999996,0.7429343099419281,133.5,47.924129853573994,133.5,47.924129853573994,83.7,16.000347218454703,4.6,0.699205898780101,0.9567165551984038,0.03314238019203705
dqn_exp06_evalselect_p5k_h256_best,10,1 2 3 4 5 6 7 8 9 10,-105.79200026411563,210.434092895336,-2.6448000066028907,5.2608523223834,9.325,1.2789427056926532,86.00750000000001,23.7295468948173,73.805,23.560883896832056,34.44250000000001,9.223566208962296,1.5575,0.6202654001850068,128.4,52.961621324628396,128.4,52.961621324628396,54.5,14.990737881179239,2.9,0.7378647873726218,0.8974276930914755,0.08504342709362663
